Entry Date,SPY 6M,RSP 6M,RSP Edge 6M,SPY 12M,RSP 12M,RSP Edge 12M,SPY 24M,RSP 24M,RSP Edge 24M
2008-01-02,-12.1%,-11.2%,+0.9%,-36.2%,-39.1%,-2.9%,-19.4%,-12.0%,+7.5%
2008-01-03,-11.9%,-11.3%,+0.6%,-34.3%,-36.8%,-2.5%,-18.0%,-10.1%,+7.9%
2008-01-04,-10.6%,-9.3%,+1.3%,-32.7%,-34.6%,-1.9%,-15.7%,-7.0%,+8.8%
2008-01-07,-9.0%,-7.4%,+1.6%,-32.2%,-33.2%,-1.0%,-15.6%,-6.9%,+8.7%
2008-01-08,-9.3%,-7.3%,+2.0%,-33.2%,-33.7%,-0.6%,-13.9%,-3.9%,+9.9%
2008-01-09,-9.8%,-8.3%,+1.6%,-33.6%,-33.9%,-0.3%,-14.5%,-4.6%,+9.9%
2008-01-10,-11.5%,-10.2%,+1.2%,-35.4%,-36.5%,-1.1%,-14.9%,-5.9%,+9.0%
2008-01-11,-11.6%,-10.6%,+0.9%,-36.5%,-37.8%,-1.3%,-15.0%,-5.7%,+9.4%
2008-01-14,-13.5%,-12.2%,+1.3%,-36.9%,-38.4%,-1.5%,-15.0%,-5.6%,+9.4%
2008-01-15,-9.4%,-6.7%,+2.7%,-37.5%,-39.1%,-1.7%,-12.8%,-3.0%,+9.8%
2008-01-17,-4.6%,-2.2%,+2.5%,-34.7%,-36.1%,-1.4%,-9.6%,-0.0%,+9.6%
2008-10-03,-23.1%,-23.9%,-0.8%,-3.3%,+5.5%,+8.8%,+10.0%,+26.2%,+16.2%
2008-10-07,-16.2%,-16.3%,-0.1%,+8.5%,+19.1%,+10.6%,+21.2%,+39.7%,+18.5%
2008-10-13,-14.6%,-12.4%,+2.2%,+8.8%,+20.5%,+11.7%,+21.7%,+41.6%,+19.9%
2008-10-14,-12.0%,-9.5%,+2.5%,+12.3%,+23.9%,+11.5%,+23.1%,+42.2%,+19.1%
2008-10-16,-9.7%,-7.7%,+2.0%,+19.1%,+31.2%,+12.1%,+32.0%,+52.1%,+20.2%
2008-10-17,-7.3%,-3.5%,+3.9%,+20.8%,+34.7%,+13.9%,+31.0%,+52.3%,+21.3%
2008-10-20,-13.1%,-8.9%,+4.3%,+13.4%,+26.0%,+12.6%,+24.8%,+44.9%,+20.1%
2008-10-21,-9.6%,-4.5%,+5.0%,+15.8%,+29.1%,+13.3%,+28.9%,+50.2%,+21.3%
2008-10-22,-2.9%,+4.4%,+7.4%,+23.7%,+39.8%,+16.1%,+36.6%,+61.1%,+24.5%
2008-10-23,-4.9%,+3.2%,+8.1%,+20.9%,+38.5%,+17.6%,+35.4%,+62.7%,+27.2%
2008-10-24,-0.2%,+7.1%,+7.2%,+26.0%,+42.5%,+16.4%,+42.7%,+69.2%,+26.5%
2008-10-27,+5.7%,+16.1%,+10.4%,+30.1%,+48.5%,+18.4%,+47.5%,+77.4%,+29.9%
2008-10-28,-5.3%,+4.2%,+9.5%,+14.2%,+29.0%,+14.7%,+32.1%,+58.4%,+26.2%
2008-10-29,-4.1%,+5.2%,+9.3%,+17.6%,+32.7%,+15.1%,+33.2%,+59.5%,+26.4%
2008-10-30,-4.2%,+6.5%,+10.7%,+10.3%,+24.6%,+14.3%,+28.8%,+54.2%,+25.4%
2008-10-31,-5.0%,+4.2%,+9.2%,+10.5%,+22.8%,+12.2%,+29.1%,+52.5%,+23.4%
2008-11-03,-3.7%,+6.4%,+10.1%,+10.6%,+24.1%,+13.5%,+29.2%,+53.1%,+23.9%
2008-11-04,-8.1%,+0.1%,+8.2%,+7.2%,+19.2%,+12.0%,+27.4%,+50.3%,+22.9%
2008-11-05,-1.9%,+10.1%,+12.0%,+14.0%,+28.8%,+14.8%,+33.5%,+59.7%,+26.2%
2008-11-06,+2.0%,+12.8%,+10.8%,+21.0%,+36.0%,+15.1%,+41.0%,+68.2%,+27.2%
2008-11-07,-1.6%,+8.0%,+9.6%,+19.8%,+35.8%,+16.0%,+35.6%,+62.0%,+26.4%
2008-11-10,-2.8%,+5.2%,+8.0%,+21.4%,+37.8%,+16.4%,+37.9%,+65.7%,+27.8%
2008-11-11,+1.2%,+10.6%,+9.4%,+25.9%,+43.0%,+17.1%,+41.8%,+70.9%,+29.1%
2008-11-12,+5.0%,+14.8%,+9.9%,+30.3%,+48.8%,+18.4%,+46.5%,+77.6%,+31.0%
2008-11-13,+1.6%,+12.0%,+10.4%,+23.4%,+40.1%,+16.7%,+37.7%,+65.9%,+28.2%
2008-11-14,+6.8%,+17.7%,+10.8%,+31.7%,+49.2%,+17.5%,+42.7%,+70.9%,+28.2%
2008-11-17,+7.5%,+20.4%,+12.9%,+33.6%,+53.8%,+20.2%,+44.7%,+76.6%,+31.8%
2008-11-18,+4.0%,+18.3%,+14.3%,+31.1%,+53.7%,+22.6%,+44.1%,+79.4%,+35.3%
2008-11-19,+10.9%,+26.2%,+15.3%,+38.2%,+61.8%,+23.5%,+54.4%,+92.8%,+38.4%
2008-11-20,+22.9%,+39.7%,+16.9%,+48.8%,+72.7%,+23.9%,+66.7%,+107.2%,+40.5%
2008-11-21,+14.5%,+29.6%,+15.1%,+43.0%,+65.3%,+22.3%,+55.8%,+93.4%,+37.6%
2008-11-24,+8.6%,+22.6%,+14.1%,+33.9%,+54.1%,+20.2%,+47.9%,+83.5%,+35.6%
2008-11-25,+9.7%,+23.5%,+13.8%,+33.4%,+53.2%,+19.8%,+45.1%,+79.5%,+34.4%
2008-11-26,+8.2%,+22.3%,+14.2%,+26.3%,+43.5%,+17.1%,+40.1%,+71.2%,+31.1%
2008-11-28,+6.9%,+21.1%,+14.2%,+25.2%,+42.5%,+17.3%,+37.6%,+68.8%,+31.1%
2008-12-01,+15.8%,+30.2%,+14.4%,+39.1%,+58.7%,+19.6%,+54.2%,+89.7%,+35.6%
2008-12-02,+12.6%,+28.1%,+15.5%,+33.9%,+53.8%,+20.0%,+50.4%,+85.5%,+35.1%
2008-12-03,+9.9%,+24.6%,+14.7%,+29.7%,+48.2%,+18.5%,+47.2%,+81.3%,+34.0%
2008-12-04,+12.1%,+27.1%,+15.0%,+33.5%,+54.5%,+21.0%,+50.6%,+87.0%,+36.4%
2008-12-05,+9.3%,+23.6%,+14.3%,+29.3%,+48.7%,+19.4%,+46.1%,+80.1%,+34.0%
2008-12-08,+5.3%,+20.6%,+15.2%,+23.6%,+42.3%,+18.7%,+41.7%,+74.2%,+32.5%
2008-12-09,+7.6%,+20.9%,+13.3%,+26.1%,+44.3%,+18.2%,+44.7%,+77.2%,+32.5%
